mal_id,name,name_kanji,nicknames,about,image_url,favorites,series_type,series_mal_id
161471,Itsuki Nakano,中野 五月,,"Birthday: May 5, 2000
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)
Gender: Female
Height: 159 cm (5'2""), 165 cm (5'5"")
Weight: 55.6 kg
Hair Color: Reddish Orange (Anime), Pearl Pink (Real Color)
Eye Color: Blue
Blood Type: A
Occupation: Student, Food critic
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School

Itsuki Nakano is the fifth sister of the Nakano Quintuplets. She is attributed as the ""first girl"" of the series. Itsuki is serious and diligent, yet she's also a glutton and crybaby.

Itsuki is a serious girl, usually getting up early compared to her sisters. She also has good manners, to the point where she cares a lot about manners. She has never been late or skipped a class, and always speaks polite language.

Itsuki has been seen to be a girl who holds a grudge, this is shown when she rejects Fuutarou Uesugi's teaching, in part, due to their earlier dispute. She is also someone who cannot be honest with herself and has a hard time being more direct. Both of these qualities often make her fight alone. Itsuki is often too precise in the timing of food cooking.

Itsuki sometimes tends to be a crybaby, whether it's due to unfavorable situations, scary things, or her stubborn self.

Itsuki has a large appetite and is mainly seen eating throughout the series. It seems like she doesn't mind treating her sisters unfairly when it comes to things related to food. When Itsuki proposes to share their cakes, Ichika suspects that his real goal is to try all the flavors. Itsuki worries about Fuutarou, but it's really because he's hungry.

According to Ichika, Fuutarou has to be firm to deal with Nino and kind to deal with Itsuki.

(Source: 5Ttoubun no Hanayome Wiki)",https://cdn.myanimelist.net/images/characters/5/437010.jpg,7844,anime,38101
161472,Nino Nakano,中野 二乃,,"Birthday: May 5, 2000
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)
Gender: Female
Height: 159 cm (5'2""), 165 cm (5'5"")
Weight: 56.8 kg
Hair Color: Salmon Pink (Anime), Pearl Pink (Real Color)
Eye Color: Blue
Blood Type: A
Occupation: Student, Part-timer
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School, Revival

Nino Nakano is one of the main characters of the 5-toubun no Hanayome series. She is the second sister of the Nakano Quintuplets who usually acts as the mother of the family; cooking for them and taking care of their medical needs. Among the five sisters, she is the one who has the highest hostility towards Fuutarou Uesugi and often rebelled against him early in the series.

Nino has an outgoing personality and is socially aware, resulting in her having many friends and is a social butterfly. She has a sharp tongue and talks bluntly when confronting others, even to her sisters. Her rebellious attitude makes her the least cooperative girl among the sisters, making her archetype resemble that of a ""tsundere.""



(Source: 5Toubun no Hanayome Wiki)",https://cdn.myanimelist.net/images/characters/7/437011.jpg,15036,anime,38101
161470,Ichika Nakano,中野 一花,,"Birthday: May 5, 2000
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)
Gender: Female
Height: 159 cm (5'2""), 165 cm (5'5"")
Weight: 54.2 kg
Hair Color: Light Pink (Anime), Pearl Pink (Real Color)
Eye Color: Blue
Blood Type: A
Occupation: Student, Actress
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School

Ichika Nakano is the first sister of the Nakano Quintuplets. Despite the negligible age difference among them, she took the role of the eldest sister properly. She is also trusted enough to act as their confidant and leader. Ichika aspires to become an actress. She likes to tease Fuutarou.



(Source: 5Toubun no Hanayome Wiki)",https://cdn.myanimelist.net/images/characters/12/436646.jpg,3832,anime,38101
161469,Yotsuba Nakano,中野 四葉,,"Birthday: May 5, 2000
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)
Gender: Female
Height: 159 cm (5'2""), 165 cm (5'5"")
Hair Color: Pale Orange (Anime), Pearl Pink (Real Color)
Eye Color: Blue
Blood Type: A
Occupation: Student, Class representative (from Chapter 70)
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School, Basketball Club, Track Club

Yotsuba Nakano is the fourth sister of the Nakano Quintuplets. She has a bright and cheerful personality. Yotsuba is the only sister who accepts Fuutarou from the start and wholeheartedly supports him in everything.

Yotsuba is an active, cheerful and calm girl. She speaks in a loud, spontaneous and sometimes absent-minded manner. She is the type of person who can't say no to people who need help, and is mostly seen helping people, either directly or indirectly.

Yotsuba is good at sports, the basketball club even asked her to join the team. Yotsuba's excellent sporting ability is shown, scoring in 7.9 seconds for a 50m sprint. Yotsuba is praised as a skilled player by a member of the basketball club. She also has excellent stamina and is a good runner.

Yotsuba is the only known sister with excellent eyesight (Itsuki wears glasses and Nino wears contact lenses). Yotsuba got a part-time job doing cleaning-related jobs. Yotsuba is good at festival games. Yotsuba's excellent eyesight is shown again, when she is able to recognize the name tag on Nino's uniform from the second floor. Miku will notice if Yotsuba is lying to her, because according to Fuutarou, Yotsuba is bad at lying. Yotsuba's poor academic skills are first hinted at and shown when she gets a zero for a test. Yotsuba comments that she is the one most likely to repeat a year. Yotsuba's excellent eyesight and kind demeanor are first shown when Fuutarou drops his exam sheet and she returns it to him.


(Source: 5Toubun no Hanayome Wiki)",https://cdn.myanimelist.net/images/characters/8/437009.jpg,5879,anime,38101
160603,Miku Nakano,中野 三玖,,"Birthday: May 5, 2000
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)
Gender: Female
Height: 159 cm (5'2""), 165 cm (5' 5"")
Weight: 49-50 kg (108-110 lbs)
Hair Color: Brown (Anime), Pearl Pink (Real Color)
Eye Color: Blue
Blood Type: A
Occupation: Student, Work part time in bakery
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School, Komugiya

Miku Nakano is initially depicted as a shy and introverted character who struggles to express herself and communicate with others. However, as the series progresses, she begins to come out of her shell and develop her own sense of confidence and individuality. Miku is particularly interested in literature, and her love for books is a central part of her character's identity.

Overall, Miku's character is complex and multi-dimensional, with her quiet determination, creativity, and vulnerability making her a compelling and relatable figure for fans of the series.


(Source: 5Toubun no Hanayome Wiki, Official website)",https://cdn.myanimelist.net/images/characters/15/507743.jpg,21838,anime,38101
159332,Fuutarou Uesugi,上杉 風太郎,Fuu-kun,"Age: 17-18
Birthday: April 15
Height: 178 cm

Fuutarou Uesugi is the main protagonist of the series. He is a serious and hardworking high school student, and a prodigy at the top of his grade. Due to financial reasons, he is tasked to tutor the Nakano Quintuplets.

According to Isanari, Fuutarou used to be similar to his father as a child, having a wild personality and being bad at studying. He currently lives a frugal lifestyle, preferring solitude. Someone comments that Fuutarou is always like this, trying not to associate himself with everything. Ichika comments that Fuutarou is direct and doesn't mince words. Yotsuba's first impression of Fuutarou is that he is a gloomy man and doesn't have many friends. His facial expression is always serious, sometimes he looks grumpy and annoyed, and he rarely blushes or gets flustered. Fuutarou thinks that being the Class Representative would only be hindering his studies.

Fuutarou is noted to have a big ego and high confidence. He can also be rude and direct, but he is actually able to contain his emotions. Despite that, Fuutarou could momentarily lose his composure when agitated and faced with unfavorable circumstances. He also does not like to get involved with other people's problems, as they find it troublesome.

Fuutarou has been shown to be very hardworking and has a lot of patience, as he is able to tutor several girls who have below average scores. It is personally stated and implied that Fuutarou currently has no interest in romantic relationships. He considers love as something silly.

Raiha describes Fuutarou as an ""overconfident"" guy and a ""study freak"".

Nino encourages Fuutarou about his future love life, despite labeling him a tactless guy. Ichika also said the same thing when she visited him in the hospital.

Fuutarou has a habit of covering his mouth with his left hand when he feels embarrassed

(Source: 5Toubun no Hanayome Wiki)",https://cdn.myanimelist.net/images/characters/3/554695.jpg,1165,anime,38101
173763,History Teacher,四葉の担任,Bald Mouse,,https://cdn.myanimelist.net/images/characters/3/389462.jpg,1,anime,38101
198505,Maeda,前田,,"Maeda is a student of the Asahiyama High School. During his third year, he is in the same class as Fuutarou Uesugi and the Nakano quintuplets.


(Source: 5Toubun no Hanayome Wiki)",https://cdn.myanimelist.net/images/characters/5/477839.jpg,4,anime,38101
173757,Matsui,松井,,Matsui is a female student at the Asahiyama High School.,https://cdn.myanimelist.net/images/characters/6/572024.jpg,4,anime,38101
173758,Maruo Nakano,中野 マルオ,,Maruo Nakano is the stepfather of the Nakano Quintuplets after Rena Nakano (the Quintuplets' mother) remarried several years before the series begins. He runs a large hospital and he is also a doctor.,https://cdn.myanimelist.net/images/characters/8/433653.jpg,28,anime,38101
