source_type,source_id,name,series,series_source_id,genre,rarity,image_url,about,favorites,archetype,stats,potency,elemental_type,elemental_resistances
mal,161471,Itsuki Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/5/437010.jpg,"Birthday: May 5, 2000_x000D_
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)_x000D_
Gender: Female_x000D_
Height: 159 cm (5'2""), 165 cm (5'5"")_x000D_
Weight: 55.6 kg_x000D_
Hair Color: Reddish Orange (Anime), Pearl Pink (Real Color)_x000D_
Eye Color: Blue_x000D_
Blood Type: A_x000D_
Occupation: Student, Food critic_x000D_
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School_x000D_
_x000D_
Itsuki Nakano is the fifth sister of the Nakano Quintuplets. She is attributed as the ""first girl"" of the series. Itsuki is serious and diligent, yet she's also a glutton and crybaby._x000D_
_x000D_
Itsuki is a serious girl, usually getting up early compared to her sisters. She also has good manners, to the point where she cares a lot about manners. She has never been late or skipped a class, and always speaks polite language._x000D_
_x000D_
Itsuki has been seen to be a girl who holds a grudge, this is shown when she rejects Fuutarou Uesugi's teaching, in part, due to their earlier dispute. She is also someone who cannot be honest with herself and has a hard time being more direct. Both of these qualities often make her fight alone. Itsuki is often too precise in the timing of food cooking._x000D_
_x000D_
Itsuki sometimes tends to be a crybaby, whether it's due to unfavorable situations, scary things, or her stubborn self._x000D_
_x000D_
Itsuki has a large appetite and is mainly seen eating throughout the series. It seems like she doesn't mind treating her sisters unfairly when it comes to things related to food. When Itsuki proposes to share their cakes, Ichika suspects that his real goal is to try all the flavors. Itsuki worries about Fuutarou, but it's really because he's hungry._x000D_
_x000D_
According to Ichika, Fuutarou has to be firm to deal with Nino and kind to deal with Itsuki._x000D_
_x000D_
(Source: 5Ttoubun no Hanayome Wiki)",7844,Ally,"{""hp"": 96, ""atk"": 89, ""mag"": 101, ""vit"": 94, ""spr"": 109, ""int"": 104, ""spd"": 94, ""lck"": 97}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,161472,Nino Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/7/437011.jpg,"Birthday: May 5, 2000_x000D_
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)_x000D_
Gender: Female_x000D_
Height: 159 cm (5'2""), 165 cm (5'5"")_x000D_
Weight: 56.8 kg_x000D_
Hair Color: Salmon Pink (Anime), Pearl Pink (Real Color)_x000D_
Eye Color: Blue_x000D_
Blood Type: A_x000D_
Occupation: Student, Part-timer_x000D_
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School, Revival_x000D_
_x000D_
Nino Nakano is one of the main characters of the 5-toubun no Hanayome series. She is the second sister of the Nakano Quintuplets who usually acts as the mother of the family; cooking for them and taking care of their medical needs. Among the five sisters, she is the one who has the highest hostility towards Fuutarou Uesugi and often rebelled against him early in the series._x000D_
_x000D_
Nino has an outgoing personality and is socially aware, resulting in her having many friends and is a social butterfly. She has a sharp tongue and talks bluntly when confronting others, even to her sisters. Her rebellious attitude makes her the least cooperative girl among the sisters, making her archetype resemble that of a ""tsundere.""_x000D_
_x000D_
_x000D_
_x000D_
(Source: 5Toubun no Hanayome Wiki)",15036,Trickster,"{""hp"": 70, ""atk"": 87, ""mag"": 98, ""vit"": 73, ""spr"": 82, ""int"": 88, ""spd"": 126, ""lck"": 136}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""S"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""fire""]","{""fire"": ""resist"", ""water"": ""weak"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,161470,Ichika Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/12/436646.jpg,"Birthday: May 5, 2000_x000D_
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)_x000D_
Gender: Female_x000D_
Height: 159 cm (5'2""), 165 cm (5'5"")_x000D_
Weight: 54.2 kg_x000D_
Hair Color: Light Pink (Anime), Pearl Pink (Real Color)_x000D_
Eye Color: Blue_x000D_
Blood Type: A_x000D_
Occupation: Student, Actress_x000D_
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School_x000D_
_x000D_
Ichika Nakano is the first sister of the Nakano Quintuplets. Despite the negligible age difference among them, she took the role of the eldest sister properly. She is also trusted enough to act as their confidant and leader. Ichika aspires to become an actress. She likes to tease Fuutarou._x000D_
_x000D_
_x000D_
_x000D_
(Source: 5Toubun no Hanayome Wiki)",3832,Illusionist,"{""hp"": 67, ""atk"": 83, ""mag"": 103, ""vit"": 65, ""spr"": 95, ""int"": 124, ""spd"": 125, ""lck"": 80}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""S"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""wind""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""weak"", ""wind"": ""resist"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,161469,Yotsuba Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/8/437009.jpg,"Birthday: May 5, 2000_x000D_
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)_x000D_
Gender: Female_x000D_
Height: 159 cm (5'2""), 165 cm (5'5"")_x000D_
Hair Color: Pale Orange (Anime), Pearl Pink (Real Color)_x000D_
Eye Color: Blue_x000D_
Blood Type: A_x000D_
Occupation: Student, Class representative (from Chapter 70)_x000D_
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School, Basketball Club, Track Club_x000D_
_x000D_
Yotsuba Nakano is the fourth sister of the Nakano Quintuplets. She has a bright and cheerful personality. Yotsuba is the only sister who accepts Fuutarou from the start and wholeheartedly supports him in everything._x000D_
_x000D_
Yotsuba is an active, cheerful and calm girl. She speaks in a loud, spontaneous and sometimes absent-minded manner. She is the type of person who can't say no to people who need help, and is mostly seen helping people, either directly or indirectly._x000D_
_x000D_
Yotsuba is good at sports, the basketball club even asked her to join the team. Yotsuba's excellent sporting ability is shown, scoring in 7.9 seconds for a 50m sprint. Yotsuba is praised as a skilled player by a member of the basketball club. She also has excellent stamina and is a good runner._x000D_
_x000D_
Yotsuba is the only known sister with excellent eyesight (Itsuki wears glasses and Nino wears contact lenses). Yotsuba got a part-time job doing cleaning-related jobs. Yotsuba is good at festival games. Yotsuba's excellent eyesight is shown again, when she is able to recognize the name tag on Nino's uniform from the second floor. Miku will notice if Yotsuba is lying to her, because according to Fuutarou, Yotsuba is bad at lying. Yotsuba's poor academic skills are first hinted at and shown when she gets a zero for a test. Yotsuba comments that she is the one most likely to repeat a year. Yotsuba's excellent eyesight and kind demeanor are first shown when Fuutarou drops his exam sheet and she returns it to him._x000D_
_x000D_
_x000D_
(Source: 5Toubun no Hanayome Wiki)",5879,Physical Attacker,"{""hp"": 100, ""atk"": 130, ""mag"": 58, ""vit"": 99, ""spr"": 66, ""int"": 52, ""spd"": 140, ""lck"": 107}","{""Mage"": ""F"", ""Attacker"": ""C"", ""Healer"": ""D"", ""Buffer"": ""D"", ""Debuffer"": ""D"", ""Defender"": ""D"", ""Specialist"": ""D""}","[""nature""]","{""fire"": ""weak"", ""water"": ""neutral"", ""earth"": ""resist"", ""wind"": ""neutral"", ""nature"": ""resist"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,160603,Miku Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/15/507743.jpg,"Birthday: May 5, 2000_x000D_
Age: 17 (Chapters 1-79), 18 (from Chapter 79), 19-22 (Movie)_x000D_
Gender: Female_x000D_
Height: 159 cm (5'2""), 165 cm (5' 5"")_x000D_
Weight: 49-50 kg (108-110 lbs)_x000D_
Hair Color: Brown (Anime), Pearl Pink (Real Color)_x000D_
Eye Color: Blue_x000D_
Blood Type: A_x000D_
Occupation: Student, Work part time in bakery_x000D_
Affiliation: Kurobara Girls High School (Formerly), Asahiyama High School, Komugiya_x000D_
_x000D_
Miku Nakano is initially depicted as a shy and introverted character who struggles to express herself and communicate with others. However, as the series progresses, she begins to come out of her shell and develop her own sense of confidence and individuality. Miku is particularly interested in literature, and her love for books is a central part of her character's identity._x000D_
_x000D_
Overall, Miku's character is complex and multi-dimensional, with her quiet determination, creativity, and vulnerability making her a compelling and relatable figure for fans of the series._x000D_
_x000D_
_x000D_
(Source: 5Toubun no Hanayome Wiki, Official website)",21838,Sage,"{""hp"": 71, ""atk"": 73, ""mag"": 102, ""vit"": 67, ""spr"": 131, ""int"": 129, ""spd"": 89, ""lck"": 88}","{""Mage"": ""B"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""C"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""water""]","{""fire"": ""resist"", ""water"": ""resist"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""weak"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,173759,Otori,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/11/389458.jpg,Otori is a student of the Asahiyama High School and a friend of Nino Nakano.,1,Ally,"{""hp"": 87, ""atk"": 93, ""mag"": 92, ""vit"": 91, ""spr"": 86, ""int"": 95, ""spd"": 86, ""lck"": 92}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,166779,Raiha Uesugi,5-toubun no Hanayome,38101,Anime,2,https://cdn.myanimelist.net/images/characters/8/384122.jpg,"Fuutarou's little sister. She is the one who cooks for the family, and despite still being in elementary school, she's considered to be mature for her age. Raiha often use her cuteness to influence people._x000D_
_x000D_
(Source: 5Toubun no Hanayome Wiki)",175,Healer,"{""hp"": 67, ""atk"": 56, ""mag"": 68, ""vit"": 73, ""spr"": 99, ""int"": 103, ""spd"": 63, ""lck"": 72}","{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""S"", ""Buffer"": ""S"", ""Debuffer"": ""C"", ""Defender"": ""D"", ""Specialist"": ""D""}","[""light""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""resist"", ""dark"": ""weak""}"
mal,173762,Yamada,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/9/389461.jpg,"Yamada is found working 5 different jobs throughout the anime adaptation, first introduced as part-time nurse.",2,Ally,"{""hp"": 86, ""atk"": 87, ""mag"": 91, ""vit"": 95, ""spr"": 85, ""int"": 90, ""spd"": 91, ""lck"": 90}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,214385,Takebayashi,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/8/495850.jpg,"Takebayashi is a childhood classmate of Fuutarou Uesugi. She was a class representative at the time of the Kyoto trip, along with Sanada.",2,Sage,"{""hp"": 65, ""atk"": 59, ""mag"": 98, ""vit"": 65, ""spr"": 124, ""int"": 128, ""spd"": 87, ""lck"": 93}","{""Mage"": ""B"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""C"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,185061,Rena Nakano,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/9/495863.jpg,Rena Nakano is the mother of the quintuplets and the late wife of Maruo Nakano.,12,Priest,"{""hp"": 69, ""atk"": 60, ""mag"": 73, ""vit"": 85, ""spr"": 130, ""int"": 129, ""spd"": 68, ""lck"": 76}","{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""S"", ""Buffer"": ""S"", ""Debuffer"": ""D"", ""Defender"": ""D"", ""Specialist"": ""D""}","[""light""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""resist"", ""dark"": ""weak""}"
