source_type,source_id,name,series,series_source_id,genre,rarity,image_url,favorites,archetype,stats,potency,elemental_type,elemental_resistances
mal,161471,Itsuki Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/5/437010.jpg,7844,Ally,"{""hp"": 96, ""atk"": 89, ""mag"": 101, ""vit"": 94, ""spr"": 109, ""int"": 104, ""spd"": 94, ""lck"": 97}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,161472,Nino Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/7/437011.jpg,15036,Trickster,"{""hp"": 70, ""atk"": 87, ""mag"": 98, ""vit"": 73, ""spr"": 82, ""int"": 88, ""spd"": 126, ""lck"": 136}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""S"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""fire""]","{""fire"": ""resist"", ""water"": ""weak"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,161470,Ichika Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/12/436646.jpg,3832,Illusionist,"{""hp"": 67, ""atk"": 83, ""mag"": 103, ""vit"": 65, ""spr"": 95, ""int"": 124, ""spd"": 125, ""lck"": 80}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""S"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""wind""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""weak"", ""wind"": ""resist"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,161469,Yotsuba Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/8/437009.jpg,5879,Physical Attacker,"{""hp"": 100, ""atk"": 130, ""mag"": 58, ""vit"": 99, ""spr"": 66, ""int"": 52, ""spd"": 140, ""lck"": 107}","{""Mage"": ""F"", ""Attacker"": ""C"", ""Healer"": ""D"", ""Buffer"": ""D"", ""Debuffer"": ""D"", ""Defender"": ""D"", ""Specialist"": ""D""}","[""nature""]","{""fire"": ""weak"", ""water"": ""neutral"", ""earth"": ""resist"", ""wind"": ""neutral"", ""nature"": ""resist"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,160603,Miku Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/15/507743.jpg,21838,Sage,"{""hp"": 71, ""atk"": 73, ""mag"": 102, ""vit"": 67, ""spr"": 131, ""int"": 129, ""spd"": 89, ""lck"": 88}","{""Mage"": ""B"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""C"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""water""]","{""fire"": ""resist"", ""water"": ""resist"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""weak"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,173759,Otori,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/11/389458.jpg,1,Ally,"{""hp"": 87, ""atk"": 93, ""mag"": 92, ""vit"": 91, ""spr"": 86, ""int"": 95, ""spd"": 86, ""lck"": 92}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,166779,Raiha Uesugi,5-toubun no Hanayome,38101,Anime,2,https://cdn.myanimelist.net/images/characters/8/384122.jpg,175,Healer,"{""hp"": 67, ""atk"": 56, ""mag"": 68, ""vit"": 73, ""spr"": 99, ""int"": 103, ""spd"": 63, ""lck"": 72}","{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""S"", ""Buffer"": ""S"", ""Debuffer"": ""C"", ""Defender"": ""D"", ""Specialist"": ""D""}","[""light""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""resist"", ""dark"": ""weak""}"
mal,173762,Yamada,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/9/389461.jpg,2,Ally,"{""hp"": 86, ""atk"": 87, ""mag"": 91, ""vit"": 95, ""spr"": 85, ""int"": 90, ""spd"": 91, ""lck"": 90}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,214385,Takebayashi,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/8/495850.jpg,2,Sage,"{""hp"": 65, ""atk"": 59, ""mag"": 98, ""vit"": 65, ""spr"": 124, ""int"": 128, ""spd"": 87, ""lck"": 93}","{""Mage"": ""B"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""C"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,185061,Rena Nakano,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/9/495863.jpg,12,Priest,"{""hp"": 69, ""atk"": 60, ""mag"": 73, ""vit"": 85, ""spr"": 130, ""int"": 129, ""spd"": 68, ""lck"": 76}","{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""S"", ""Buffer"": ""S"", ""Debuffer"": ""D"", ""Defender"": ""D"", ""Specialist"": ""D""}","[""light""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""resist"", ""dark"": ""weak""}"
mal,60511,Kikue Sakuragawa,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/10/161571.jpg,8,Ally,"{""hp"": 87, ""atk"": 83, ""mag"": 87, ""vit"": 89, ""spr"": 84, ""int"": 91, ""spd"": 87, ""lck"": 85}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,60505,Saki Sakimori,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/11/161565.jpg,12,Champion,"{""hp"": 99, ""atk"": 99, ""mag"": 84, ""vit"": 97, ""spr"": 94, ""int"": 96, ""spd"": 92, ""lck"": 102}","{""Mage"": ""C"", ""Attacker"": ""B"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""C"", ""Defender"": ""B"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,60507,Kana Miyama,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/6/161567.jpg,4,Trickster,"{""hp"": 66, ""atk"": 91, ""mag"": 103, ""vit"": 68, ""spr"": 69, ""int"": 75, ""spd"": 129, ""lck"": 132}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""S"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""wind""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""weak"", ""wind"": ""resist"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,55839,Tsumiki Miniwa,Acchi Kocchi,12291,Anime,3,https://cdn.myanimelist.net/images/characters/5/161551.jpg,1774,Berserker,"{""hp"": 124, ""atk"": 136, ""mag"": 60, ""vit"": 125, ""spr"": 71, ""int"": 62, ""spd"": 95, ""lck"": 64}","{""Mage"": ""F"", ""Attacker"": ""C"", ""Healer"": ""F"", ""Buffer"": ""D"", ""Debuffer"": ""D"", ""Defender"": ""D"", ""Specialist"": ""D""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""resist"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,55845,Mayoi Katase,Acchi Kocchi,12291,Anime,2,https://cdn.myanimelist.net/images/characters/15/170999.jpg,152,Engineer,"{""hp"": 70, ""atk"": 73, ""mag"": 93, ""vit"": 68, ""spr"": 122, ""int"": 137, ""spd"": 98, ""lck"": 82}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""S"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""earth""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""resist"", ""wind"": ""weak"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,55843,Hime Haruno,Acchi Kocchi,12291,Anime,2,https://cdn.myanimelist.net/images/characters/11/161545.jpg,86,Healer,"{""hp"": 71, ""atk"": 56, ""mag"": 70, ""vit"": 67, ""spr"": 100, ""int"": 101, ""spd"": 73, ""lck"": 81}","{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""S"", ""Buffer"": ""S"", ""Debuffer"": ""C"", ""Defender"": ""D"", ""Specialist"": ""D""}","[""light""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""resist"", ""dark"": ""weak""}"
mal,60503,Miiko Inui,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/5/161563.jpg,17,Ally,"{""hp"": 85, ""atk"": 89, ""mag"": 84, ""vit"": 90, ""spr"": 90, ""int"": 88, ""spd"": 89, ""lck"": 91}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""neutral""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
mal,118715,Sakura Adachi,Adachi to Shimamura,39790,Anime,3,https://cdn.myanimelist.net/images/characters/7/278227.jpg,1053,Trickster,"{""hp"": 72, ""atk"": 89, ""mag"": 87, ""vit"": 68, ""spr"": 75, ""int"": 78, ""spd"": 131, ""lck"": 132}","{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""S"", ""Defender"": ""C"", ""Specialist"": ""C""}","[""wind""]","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""weak"", ""wind"": ""resist"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}"
