series_id,name,english_name,image_link,creator,genres,synopsis,favorites,members,score,media_type
1,5-toubun no Hanayome,The Quintessential Quintuplets,https://cdn.myanimelist.net/images/anime/1819/97947l.jpg,"{""studio"": ""Tezuka Productions""}",Comedy|Harem|Romance|School,"Fuutarou Uesugi is an ace high school student, but leads an otherwise tough life. His standoffish personality and reclusive nature have left him friendless, and his father is debt-ridden, forcing his family to scrape by._x000D_
_x000D_
One day during his lunch break, Uesugi argues with a female transfer student who has claimed ""his seat,"" leading both of them to dislike each other. That same day, he is presented with a golden opportunity to clear his family's debt: a private tutoring gig for a wealthy family's daughter, with a wage of five times the market price. He accepts the proposal, but is horrified to discover that the client, Itsuki Nakano, is the girl he confronted earlier! _x000D_
_x000D_
After unsuccessfully trying to get back on Itsuki's good side, Uesugi finds out that his problems don't end there: Itsuki is actually a quintuplet, so in addition to her, he must also tutor her sisters���Miku, Yotsuba, Nino, and Ichika���who, despite the very real threat of flunking, want nothing to do with a tutor. However, his family's livelihood is on the line so Uesugi pushes on, adamant in his resolve to rid the sisters of their detest for studying and successfully lead them to graduation._x000D_
_x000D_
[Written by MAL Rewrite]",14422,1029700,7.63,anime
2,Acchi Kocchi,Place to Place,https://cdn.myanimelist.net/images/anime/5/46489l.jpg,"{""studio"": ""AIC""}",Comedy|Gag Humor|Romance|School,"Feelings may come and go, but true love always remains in the heart. Tsumiki Miniwa is in love with her best friend, Io Otonashi. For her, confessing is nearly impossible; but to her friends, they seem to be the perfect match. Cute and petite, Tsumiki comes off more as a friend, and Io's attitude toward her is friendlier than toward others. Despite the constant teasing and obvious hints that his friends have been dropping, Io always seems to miss the signs. _x000D_
_x000D_
Throughout her everyday school life, Tsumiki spends time with her friends and Io. Will she finally muster enough courage to confess her true feelings?_x000D_
_x000D_
[Written by MAL Rewrite]",2782,334625,7.47,anime
3,Aharen-san wa Hakarenai,Aharen-san wa Hakarenai,https://cdn.myanimelist.net/images/anime/1612/120636l.jpg,"{""studio"": ""Felix Film""}",Comedy|Love Status Quo|Romance|School,"Beginning his first year of high school, all Raidou wants is to make friends���starting with the cute, tiny, and soft-spoken Reina Aharen, who sits right next to him in class. Unbeknownst to Raidou, Reina shares the same sentiment, but she has a problem. Awkward and timid, Reina is incapable of determining how chummy she has to be when approaching a person._x000D_
_x000D_
Due to Reina's complete inability to gauge personal space, the two struggle to spark their unlikely friendship, as even the simplest tasks like talking seem impossible for them. But despite the countless yet pointless challenges that hinder the pair, the overly imaginative Raidou will do whatever it takes to befriend the indecipherable Reina._x000D_
_x000D_
[Written by MAL Rewrite]",2350,378099,7.28,anime
4,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord,https://cdn.myanimelist.net/images/anime/1150/140028l.jpg,"{""studio"": ""Jumondou""}",Fantasy|Isekai|School|Villainess,"The beginning of Light Magic and the Hero, an otome RPG, unfolds fairly normally: the heroine, Alicia Ehnleit, meets her three love interests one after another and then inevitably comes face-to-face with the villainess. Yumiella Dolkness may be of noble descent, but her dark hair and rare dark-type magic���both associated with the Demon Lord���spark fear in anyone who sees her. When she is five years old, Yumiella regains memories of her previous life in modern Japan, also realizing that her fate is to become the hidden boss that appears after Alicia and her suitors defeat the Demon Lord._x000D_
_x000D_
Yumiella refuses to live as the game dictates and, as she prefers the game's fantasy elements over its romance, she decides to cultivate her magical skills and level up in secret. However, everything falls apart on the day of the Royal Academy's entrance ceremony. Yumiella's powers are measured at level 99���something thought impossible even for the royal knights, let alone a 15-year-old girl. With the royal family requesting her help, and everyone else insisting that she prove her strength, Yumiella realizes that her dream of a quiet life is no longer an option._x000D_
_x000D_
[Written by MAL Rewrite]",895,189603,7.13,anime
5,Angel Beats!,Angel Beats!,https://cdn.myanimelist.net/images/anime/1244/111115l.jpg,"{""studio"": ""P.A. Works""}",Comedy|Drama|Fantasy|School,"Death is one of many mysteries that has left humanity in the dark since the dawn of time. However, the burning question of what happens to the soul after one dies is soon answered to 17-year-old Yuzuru Otonashi. Waking up with no previous memories in a dimension between life and death, he discovers the unsettling truth of the afterlife.  _x000D_
_x000D_
Taking the form of a high school, this bizarre dimension is designated to shelter those who died unwanted deaths. Feeling wronged by God during their earthly lives, the school's residents have decided to form the Afterlife Battlefront���a rebellious faction determined to oppose their god-like student council president, Kanade ""Angel"" Tachibana. The group's leader, Yuri Nakamura, recruits Otonashi in their fight against Angel in order to take control of their own lives. However, questioning the morality behind their actions, Otonashi takes a step behind the enemy lines to understand the opposing side of their common fate._x000D_
_x000D_
[Written by MAL Rewrite]",49741,2158996,8.05,anime
6,Anima Yell!,nan,https://cdn.myanimelist.net/images/anime/1051/93862l.jpg,"{""studio"": ""Doga Kobo""}",CGDCT|Comedy|Performing Arts|School|Sports,"Kohane Hatoya's most lovable trait is also her greatest flaw. She loves to help others no matter how far she has to go in order to get the job done. Her biggest inspiration to do so comes to light when she sees what cheerleading looks like for the first time in middle school. Now a highschooler but as enthusiastic as ever, Kohane wants nothing more than to start her very own cheerleading squad. She is encouraged by her best friend, Uki Sawatari, who often has to help her get out of trouble._x000D_
_x000D_
There is just one problem: Kohane does not have any experience in cheerleading. She has absolutely no idea what to do, what to wear, or how to perform. To make matters worse, she has been scared of heights since childhood, and this new sport is full of stunts pulled far from the ground for a girl her size. Enter Hizume Arima, a former cheerleader who wishes to leave her pastime behind. Unfortunately for her, Kohane recognizes Hizume, and will stop at nothing just so she can lead the new squad, even if it means facing her childhood fear._x000D_
_x000D_
[Written by MAL Rewrite]",95,45982,6.87,anime
7,Anne Happy♪,Anne-Happy,https://cdn.myanimelist.net/images/anime/9/78701l.jpg,"{""studio"": ""SILVER LINK.""}",CGDCT|School|Slice of Life,"Tennomifune Academy is an elite institution for the best and the brightest, with the exception of Class 1-7, the so-called ""Happiness Class."" Each member of the classroom copes with personal misfortunes, and the special class is geared to help them move past their issues and find true happiness. _x000D_
_x000D_
After being accepted into the academy, An Hanakoizumi, Ruri Hibarigaoka, and Botan Kumegawa find themselves placed into the Happiness Class, plagued by dreadful luck, love problems, and bad health respectively. Alongside their classmates, they do their best to overcome the difficulties they are faced with in pursuit of a life filled with joy._x000D_
_x000D_
[Written by MAL Rewrite]",267,82812,6.94,anime
8,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,https://cdn.myanimelist.net/images/anime/5/79697l.jpg,"{""studio"": ""A-1 Pictures""}",Drama|Supernatural,"Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko ""Menma"" Honma, appears and pesters him to grant a forgotten wish. He pays her no mind, which annoys her, but he doesn't really care. After all, Menma already died years ago._x000D_
_x000D_
At first, Jinta thinks that he is merely hallucinating due to the summer heat, but he is later on convinced that what he sees truly is the ghost of Menma. Jinta and his group of childhood friends grew apart after her untimely death, but they are drawn together once more as they try to lay Menma's spirit to rest. Re-living their pain and guilt, will they be able to find the strength to help not only Menma move on���but themselves as well?_x000D_
_x000D_
[Written by MAL Rewrite]",32938,1675237,8.29,anime
9,Azur Lane: Bisoku Zenshin!,Azur Lane: Slow Ahead!,https://cdn.myanimelist.net/images/anime/1137/113872l.jpg,"{""studio"": ""Studio CANDY BOX""}",Anthropomorphic|CGDCT|Comedy|Military|Sci-Fi,"In a seemingly peaceful time without looming threats of Sirens or war, shipgirls from different nations live together in harmony. Some girls, such as the destroyers Ayanami, Javelin, Laffey, and Z23, attend school. Others immerse themselves into various other activities, including sports, foraging, training, going to formal parties, or even vying for the commander's attention! But one thing is for certain: the girls will continue to deepen their friendship in the pleasant port of Azur Lane!_x000D_
_x000D_
[Written by MAL Rewrite]",258,55130,7.0,anime
10,Bad Girl,Bad Girl,https://cdn.myanimelist.net/images/anime/1672/148848l.jpg,"{""studio"": ""Bridge""}",CGDCT|Comedy|School,"High school first year Yuu Yuutani has always been a good girl, following the rules, helping out around her house, and generally going through life unnoticed. From afar, she reveres her upperclassman and the school's Public Decency Officer, Atori Mizutori, and desperately wants her attention. When she realizes that the best way to get Atori to notice her is to be a delinquent, she begins to dress differently: she dyes parts of her hair a bright red, wears clips on her ears to resemble piercings, and attaches jumbo erasers to her shoes to give them thicker soles._x000D_
_x000D_
Despite Yuu's best efforts and even with the advice of her ""natural born delinquent"" friend Suzu Suzukaze, all of her plans to be a bad girl go awry. Still, Yuu manages to befriend Atori and pledges to spend as much time as possible together, not knowing there are others vying for Atori's attention. In the process, Yuu has also gained the attention of the school's self-proclaimed idol, Rura Ruriha, filling her once-invisible life with more attention than she may be able to handle._x000D_
_x000D_
[Written by MAL Rewrite]",53,23838,6.77,anime
