source_type,source_id,name,english_name,creator,media_type,image_link,genres,synopsis,favorites,members,score,processed_at
mal,38101,5-toubun no Hanayome,The Quintessential Quintuplets,"{""studio"": ""Tezuka Productions""}",anime,https://cdn.myanimelist.net/images/anime/1819/97947l.jpg,Comedy|Romance|Harem|School,"Fuutarou Uesugi is an ace high school student, but leads an otherwise tough life. His standoffish personality and reclusive nature have left him friendless, and his father is debt-ridden, forcing his family to scrape by.

One day during his lunch break, Uesugi argues with a female transfer student who has claimed ""his seat,"" leading both of them to dislike each other. That same day, he is presented with a golden opportunity to clear his family's debt: a private tutoring gig for a wealthy family's daughter, with a wage of five times the market price. He accepts the proposal, but is horrified to discover that the client, Itsuki Nakano, is the girl he confronted earlier! 

After unsuccessfully trying to get back on Itsuki's good side, Uesugi finds out that his problems don't end there: Itsuki is actually a quintuplet, so in addition to her, he must also tutor her sisters—Miku, Yotsuba, Nino, and Ichika—who, despite the very real threat of flunking, want nothing to do with a tutor. However, his family's livelihood is on the line so Uesugi pushes on, adamant in his resolve to rid the sisters of their detest for studying and successfully lead them to graduation.

[Written by MAL Rewrite]",14422,1029700,7.63,
mal,39783,5-toubun no Hanayome ∬,The Quintessential Quintuplets 2,"{""studio"": ""Bibury Animation Studios""}",anime,https://cdn.myanimelist.net/images/anime/1775/109514l.jpg,Comedy|Romance|Harem|School,"Through their tutor Fuutarou Uesugi's diligent guidance, the Nakano quintuplets' academic performance shows signs of improvement, even if their path to graduation is still rocky. However, as they continue to cause various situations that delay any actual tutoring, Fuutarou becomes increasingly involved with their personal lives, further complicating their relationship with each other.

On another note, Fuutarou slowly begins to realize the existence of a possible connection between him and the past he believes to have shared with one of the five girls. With everyone's feelings beginning to develop and overlap, will they be able to keep their bond strictly to that of a teacher and his students—or will it mature into something else entirely?

[Written by MAL Rewrite]",11710,781424,8.01,
mal,48548,5-toubun no Hanayome Movie,The Quintessential Quintuplets Movie,"{""studio"": ""Bibury Animation Studios""}",anime,https://cdn.myanimelist.net/images/anime/1037/122516l.jpg,Comedy|Romance|Harem|School,"Fuutarou Uesugi's efforts as the Nakano quintuplets' private tutor are finally paying off. The academic performances of the five sisters are steadily improving, and they are each closer than ever to achieving their respective dreams. However, it appears that Fuutarou has become more than a teacher for the girls, who urge him to sort out his feelings.

The undecided young man promises to make a decision by the end of the school festival. However, Fuutarou's task will not be easy, as the Nakano sisters pull out all the stops to win his heart before it is too late.

[Written by MAL Rewrite]",3309,298874,7.82,
mal,12291,Acchi Kocchi,Place to Place,"{""studio"": ""AIC""}",anime,https://cdn.myanimelist.net/images/anime/5/46489l.jpg,Comedy|Romance|Gag Humor|School,"Feelings may come and go, but true love always remains in the heart. Tsumiki Miniwa is in love with her best friend, Io Otonashi. For her, confessing is nearly impossible; but to her friends, they seem to be the perfect match. Cute and petite, Tsumiki comes off more as a friend, and Io's attitude toward her is friendlier than toward others. Despite the constant teasing and obvious hints that his friends have been dropping, Io always seems to miss the signs. 

Throughout her everyday school life, Tsumiki spends time with her friends and Io. Will she finally muster enough courage to confess her true feelings?

[Written by MAL Rewrite]",2782,334625,7.47,
mal,49520,Aharen-san wa Hakarenai,Aharen-san wa Hakarenai,"{""studio"": ""Felix Film""}",anime,https://cdn.myanimelist.net/images/anime/1612/120636l.jpg,Comedy|Romance|Love Status Quo|School,"Beginning his first year of high school, all Raidou wants is to make friends—starting with the cute, tiny, and soft-spoken Reina Aharen, who sits right next to him in class. Unbeknownst to Raidou, Reina shares the same sentiment, but she has a problem. Awkward and timid, Reina is incapable of determining how chummy she has to be when approaching a person.

Due to Reina's complete inability to gauge personal space, the two struggle to spark their unlikely friendship, as even the simplest tasks like talking seem impossible for them. But despite the countless yet pointless challenges that hinder the pair, the overly imaginative Raidou will do whatever it takes to befriend the indecipherable Reina.

[Written by MAL Rewrite]",2350,378099,7.28,
mal,59466,Aharen-san wa Hakarenai Season 2,Aharen-san wa Hakarenai Season 2,"{""studio"": ""Felix Film""}",anime,https://cdn.myanimelist.net/images/anime/1501/148355l.jpg,Comedy|Romance|Love Status Quo|School,"Ever since the quiet and timid Reina Aharen enrolled in high school, she has made new friends and even started dating her classmate Raidou. When the two begin their second year, everything seems to be going well, as they are seatmates once more.

Soon after, a transfer student named Riku Tamanaha joins their class. Unbeknownst to Reina, the outgoing and stylish girl is actually a childhood friend she separated from years ago. With Raidou's support, Reina is able to rekindle their friendship.

Although they have grown closer, Raidou and Reina still struggle to communicate due to his overactive imagination and her difficulty with expressing herself. Nevertheless, the eccentric couple continues to brighten up the lives of people around them as they enjoy each other's company to the fullest.

[Written by MAL Rewrite]",284,76254,7.49,
mal,54837,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord,"{""studio"": ""Jumondou""}",anime,https://cdn.myanimelist.net/images/anime/1150/140028l.jpg,Fantasy|Isekai|School|Villainess,"The beginning of Light Magic and the Hero, an otome RPG, unfolds fairly normally: the heroine, Alicia Ehnleit, meets her three love interests one after another and then inevitably comes face-to-face with the villainess. Yumiella Dolkness may be of noble descent, but her dark hair and rare dark-type magic—both associated with the Demon Lord—spark fear in anyone who sees her. When she is five years old, Yumiella regains memories of her previous life in modern Japan, also realizing that her fate is to become the hidden boss that appears after Alicia and her suitors defeat the Demon Lord.

Yumiella refuses to live as the game dictates and, as she prefers the game's fantasy elements over its romance, she decides to cultivate her magical skills and level up in secret. However, everything falls apart on the day of the Royal Academy's entrance ceremony. Yumiella's powers are measured at level 99—something thought impossible even for the royal knights, let alone a 15-year-old girl. With the royal family requesting her help, and everyone else insisting that she prove her strength, Yumiella realizes that her dream of a quiet life is no longer an option.

[Written by MAL Rewrite]",895,189603,7.13,
mal,6547,Angel Beats!,Angel Beats!,"{""studio"": ""P.A. Works""}",anime,https://cdn.myanimelist.net/images/anime/1244/111115l.jpg,Drama|Fantasy|School,"Death is one of many mysteries that has left humanity in the dark since the dawn of time. However, the burning question of what happens to the soul after one dies is soon answered to 17-year-old Yuzuru Otonashi. Waking up with no previous memories in a dimension between life and death, he discovers the unsettling truth of the afterlife.  

Taking the form of a high school, this bizarre dimension is designated to shelter those who died unwanted deaths. Feeling wronged by God during their earthly lives, the school's residents have decided to form the Afterlife Battlefront—a rebellious faction determined to oppose their god-like student council president, Kanade ""Angel"" Tachibana. The group's leader, Yuri Nakamura, recruits Otonashi in their fight against Angel in order to take control of their own lives. However, questioning the morality behind their actions, Otonashi takes a step behind the enemy lines to understand the opposing side of their common fate.

[Written by MAL Rewrite]",49741,2158996,8.05,
mal,10067,Angel Beats! Another Epilogue,,"{""studio"": ""P.A. Works""}",anime,https://cdn.myanimelist.net/images/anime/1399/131410l.jpg,Fantasy|School,"Disillusioned with the afterlife, a new student causes a scene during a classroom test and expresses his doubts about whether getting good grades can really lead to escaping the school and ascending to Heaven. Afterwards,  he is confronted by the new student council president—a familiar face whose past experiences give him powerful insight into the true nature of the school and first-hand knowledge regarding the futility of rebellion.

[Written by MAL Rewrite]",238,249137,7.44,
mal,9062,Angel Beats! Specials,,"{""studio"": ""P.A. Works""}",anime,https://cdn.myanimelist.net/images/anime/4/25073l.jpg,Comedy|Fantasy|School,"As the Shinda Sekai Sensen (SSS) continue their vindictive rebellion against God, their leader, Yuri Nakamura, comes up with an ingenious plan to escape the afterlife. Her subordinates prepare to carry out ""Operation High Tension Syndrome"" to deceive Kanade Tachibana, student council president and alleged associate of God, into thinking that they are ready to pass on. With a week's worth of food on the line and with Heaven as the ultimate prize, will the SSS members be able to fool the inscrutable Kanade?

[Written by MAL Rewrite]",326,279254,7.55,
