source_type,source_id,unique_waifu_id,name,series_unique_id,created_at
mal,161471,1,Itsuki Nakano,1,2025-11-14T13:28:27.682200
mal,161472,2,Nino Nakano,1,2025-11-14T13:28:27.696298
mal,161470,3,Ichika Nakano,1,2025-11-14T13:28:27.710623
mal,161469,4,Yotsuba Nakano,1,2025-11-14T13:28:27.723421
mal,160603,5,Miku Nakano,1,2025-11-14T13:28:27.737652
mal,173759,6,Otori,1,2025-11-14T13:28:27.753056
mal,166779,7,Raiha Uesugi,1,2025-11-14T13:28:27.767348
mal,173762,8,Yamada,1,2025-11-14T13:28:27.782273
mal,214385,9,Takebayashi,1,2025-11-14T13:28:27.796079
mal,185061,10,Rena Nakano,1,2025-11-14T13:28:27.809363
mal,55843,11,Hime Haruno,2,2025-11-14T13:28:27.823219
mal,55845,12,Mayoi Katase,2,2025-11-14T13:28:27.836722
mal,55839,13,Tsumiki Miniwa,2,2025-11-14T13:28:27.852650
mal,60503,14,Miiko Inui,2,2025-11-14T13:28:27.865453
mal,60507,15,Kana Miyama,2,2025-11-14T13:28:27.879689
mal,60505,16,Saki Sakimori,2,2025-11-14T13:28:27.893214
mal,60511,17,Kikue Sakuragawa,2,2025-11-14T13:28:27.908579
mal,150916,18,Reina Aharen,3,2025-11-14T13:28:27.921212
mal,186395,19,Eru Aharen,3,2025-11-14T13:28:27.936178
mal,186390,20,Futaba,3,2025-11-14T13:28:27.951375
mal,184667,21,Miyahira-sensei,3,2025-11-14T13:28:27.964483
mal,184663,22,Mitsuki Ooshiro,3,2025-11-14T13:28:27.978439
mal,184665,23,Hanako Satou,3,2025-11-14T13:28:27.991352
mal,204012,24,Toubaru-sensei,3,2025-11-14T13:28:28.005088
mal,184666,25,Riku Tamanaha,3,2025-11-14T13:28:28.019450
mal,187749,26,Yumiella Dolkness,4,2025-11-14T13:28:28.032383
mal,187756,27,Alicia Ehnleit,4,2025-11-14T13:28:28.045241
mal,234463,28,Eleanora Hillrose,4,2025-11-14T13:28:28.061673
mal,187751,29,Rita,4,2025-11-14T13:28:28.074870
mal,245459,30,Sara,4,2025-11-14T13:28:28.088497
mal,22370,31,Yuri Nakamura,5,2025-11-14T13:28:28.102617
mal,22369,32,Kanade Tachibana,5,2025-11-14T13:28:28.116481
mal,24513,33,Hisako,5,2025-11-14T13:28:28.131558
mal,38508,34,Hitomi,5,2025-11-14T13:28:28.145130
mal,24516,35,Miyuki Irie,5,2025-11-14T13:28:28.158074
mal,24512,36,Masami Iwasawa,5,2025-11-14T13:28:28.171590
mal,32965,37,Hatsune Otonashi,5,2025-11-14T13:28:28.185808
mal,24517,38,Shiori Sekine,5,2025-11-14T13:28:28.200673
mal,24506,39,Shiina,5,2025-11-14T13:28:28.213319
mal,24515,40,Yui,5,2025-11-14T13:28:28.226967
mal,24507,41,Yusa,5,2025-11-14T13:28:28.239975
mal,158575,42,Hizume Arima,6,2025-11-14T13:28:28.254593
mal,158574,43,Kohane Hatoya,6,2025-11-14T13:28:28.268730
mal,158576,44,Uki Sawatari,6,2025-11-14T13:28:28.282190
mal,158577,45,Kotetsu Tatejima,6,2025-11-14T13:28:28.295758
mal,162663,46,Kana Ushiku,6,2025-11-14T13:28:28.308459
mal,165355,47,Basket Senpai,6,2025-11-14T13:28:28.323695
mal,165004,48,Inukai,6,2025-11-14T13:28:28.337271
mal,165357,49,Kateika-bu Buchou,6,2025-11-14T13:28:28.351779
mal,165360,50,Tamako Nekoya,6,2025-11-14T13:28:28.364168
mal,137663,51,Ren Ekoda,7,2025-11-14T13:28:28.377513
mal,137662,52,Hibiki Hagyuu,7,2025-11-14T13:28:28.393552
mal,137659,53,An Hanakoizumi,7,2025-11-14T13:28:28.407135
mal,137660,54,Ruri Hibarigaoka,7,2025-11-14T13:28:28.421598
mal,137661,55,Botan Kumegawa,7,2025-11-14T13:28:28.435179
mal,140728,56,Sakura Hanakoizumi,7,2025-11-14T13:28:28.449891
mal,138267,57,Kodaira,7,2025-11-14T13:28:28.463770
mal,141848,58,Saginomiya,7,2025-11-14T13:28:28.477641
mal,141849,59,Tsubaki Sayama,7,2025-11-14T13:28:28.490636
mal,40593,60,Naruko Anjou,8,2025-11-14T13:28:28.504108
mal,40592,61,Meiko Honma,8,2025-11-14T13:28:28.518532
mal,40595,62,Chiriko Tsurumi,8,2025-11-14T13:28:28.532774
mal,42863,63,Irene Honma,8,2025-11-14T13:28:28.546461
mal,42943,64,Touko Yadomi,8,2025-11-14T13:28:28.561477
mal,176800,65,Ruri Ichigyou,36,2025-11-14T13:28:28.573551
mal,176802,66,Misuzu Kadenokouji,36,2025-11-14T13:28:28.588996
mal,208114,67,Yiyi Xu,36,2025-11-14T13:28:28.602580
